gt_raw_name,normalized,wcvp_accepted_binomial,match_tier,n_gt_crowns,in_corpus_vocabulary
Enterolobium cyclocarpum,enterolobium cyclocarpum,,a_exact_binomial,6,True
Maripa panamensis,maripa panamensis,,a_exact_binomial,6,True
Ocotea oblonga,ocotea oblonga,,a_exact_binomial,6,True
Omphalea diandra,omphalea diandra,,a_exact_binomial,6,True
Pochota fendleri,pochota fendleri,,a_exact_binomial,6,True
Prionostemma aspera,prionostemma aspera,,a_exact_binomial,6,True
Urticaceae,urticaceae,,c_gt_label_is_genus_only,6,False
Virola sebifera,virola sebifera,,a_exact_binomial,6,True
Apeiba,apeiba,,c_gt_label_is_genus_only,5,False
Arrabidaea candicans,arrabidaea candicans,fridericia candicans,d_wcvp_synonym,5,True
Celtis iguanaea,celtis iguanaea,,a_exact_binomial,5,True
Fridericia schumanniana,fridericia schumanniana,,a_exact_binomial,5,True
Guarea guidonia,guarea guidonia,,a_exact_binomial,5,True
Hiraea grandifolia,hiraea grandifolia,,a_exact_binomial,5,True
Hylenaea praecelsa,hylenaea praecelsa,,a_exact_binomial,5,True
Hymenaea courbaril,hymenaea courbaril,,a_exact_binomial,5,True
Mascagnia divaricata,mascagnia divaricata,,a_exact_binomial,5,True
Mascagnia ovatifolia,mascagnia ovatifolia,,a_exact_binomial,5,True
Ocotea leptobotra,ocotea leptobotra,,a_exact_binomial,5,True
Pachira sessilis,pachira sessilis,,a_exact_binomial,5,True
Quararibea asterolepis,quararibea asterolepis,,a_exact_binomial,5,True
Uncaria tomentosa-UNCATO,uncaria tomentosa,,b_normalized,5,True
Amphilophium crucigerum,amphilophium crucigerum,,a_exact_binomial,4,True
Amphilophium paniculatum,amphilophium paniculatum,,a_exact_binomial,4,True
Aspidosperma cruentum,aspidosperma cruentum,aspidosperma desmanthum,d_wcvp_synonym,4,True
Celastraceae,celastraceae,,c_gt_label_is_genus_only,4,False
Cordia panamensis,cordia panamensis,,a_exact_binomial,4,True
