queue,global_key,split,predicted_species,confidence,species_labelled_crowns,species_top1_accuracy,novelty_rank,batch_id
long_tail,comb_DJI_20240912091709_0010_V_3681zoom.JPG,,persicaria hydropiperoides,0.082080,0,,1,1
long_tail,comb_DJI_20260114114441_0011_V_9557zoom.JPG,,laguncularia racemosa,0.068980,0,,3,1
long_tail,comb_DJI_20250924110028_0031_V_734zoom.JPG,,sapium laurifolium,0.004850,0,,4,1
long_tail,comb_DJI_20250523093753_0009_V_40zoom.JPG,,lacmellea panamensis,0.016750,1,0.0000,5,1
long_tail,comb_DJI_20240913114952_0016_V_3887zoom.JPG,,boerhavia coccinea,0.197150,0,,6,1
long_tail,comb_DJI_20250806094434_0026_V_168zoom.JPG,,comocladia guatemalensis,0.026200,0,,7,1
long_tail,comb_DJI_20260322093453_0025_V_1032tele.JPG,,tillandsia bulbosa,0.117810,0,,8,1
long_tail,comb_DJI_20250813124153_0029_V_8943zoom.JPG,,clusia multiflora,0.057770,0,,9,1
long_tail,comb_DJI_20260311165222_0005_V_11021tele.JPG,,spondias purpurea,0.021060,0,,10,1
long_tail,comb_DJI_20250305092514_0028_V_2597zoom.JPG,,aechmea nudicaulis,0.055330,0,,11,1
long_tail,comb_DJI_20260320102125_0047_V_3687tele.JPG,,pseudobombax septenatum,0.990420,27,0.5926,12,1
long_tail,comb_DJI_20250110162618_0038_V_58zoom.JPG,,ipomoea muricata,0.021430,0,,13,1
long_tail,comb_DJI_20251006114914_0029_V_667zoom.JPG,,philodendron jacquinii,0.378390,0,,15,1
long_tail,comb_DJI_20250523094213_0027_V_161zoom.JPG,,lysiloma latisiliquum,0.034660,0,,18,1
long_tail,comb_DJI_20260318104437_0031_V_5393tele.JPG,,pseudobombax septenatum,0.034950,27,0.5926,20,1
long_tail,comb_DJI_20251006121726_0013_V_2472zoom.JPG,,agdestis clematidea,0.032730,0,,21,1
long_tail,comb_DJI_20250305130626_0042_V_5694zoom.JPG,,robrichia schomburgkii,0.021130,0,,22,1
long_tail,comb_DJI_20250522093841_0003_V_116zoom.JPG,,olyra latifolia,0.074980,0,,24,1
long_tail,comb_DJI_20240911153823_0062_V_5079zoom.JPG,,cissus erosa,0.187150,1,1.0000,25,1
long_tail,comb_DJI_20260320101600_0027_V_4775tele.JPG,,passovia pedunculata,0.020690,0,,26,1
long_tail,comb_DJI_20250820092450_0001_V_4292zoom.JPG,,pelliciera rhizophorae,0.021710,0,,28,1
long_tail,comb_DJI_20241217094911_0010_V_1963zoom.JPG,,gmelina arborea,0.026960,0,,31,1
long_tail,comb_DJI_20260114095131_0001_V_7091zoom.JPG,,arthrostemma ciliatum,0.023420,0,,33,1
long_tail,comb_DJI_20260311165509_0015_V_4786tele.JPG,,dalbergia granadillo,0.019340,0,,35,1
long_tail,comb_DJI_20250110141113_0054_V_175zoom.JPG,,parinari excelsa,0.018910,0,,36,1
long_tail,comb_DJI_20260114123127_0019_V_10570zoom.JPG,,paullinia pinnata,0.047730,0,,39,1
long_tail,comb_DJI_20241211100933_0026_V_1259zoom.JPG,,vochysia ferruginea,0.648990,2,0.5000,41,2
long_tail,comb_DJI_20250305133418_0038_V_5757zoom.JPG,,selenicereus monacanthus,0.078330,0,,42,2
long_tail,comb_DJI_20250304093145_0004_V_8024zoom.JPG,,pseudobombax septenatum,0.264640,27,0.5926,44,1
long_tail,comb_DJI_20251014104101_0019_V_4957zoom.JPG,,bactris maraja,0.066360,0,,46,2
long_tail,comb_DJI_20260114103203_0045_V_4738zoom.JPG,,guapira myrtiflora,0.243500,17,0.5882,47,2
long_tail,comb_DJI_20250813135441_0015_V_11390zoom.JPG,,casearia sylvestris,0.238580,0,,48,2
long_tail,comb_DJI_20250205103748_0036_V_6837zoom.JPG,,guazuma ulmifolia,0.015580,11,0.6364,49,3
long_tail,comb_DJI_20250523083542_0031_V_57zoom.JPG,,miconia prasina,0.034880,0,,50,3
long_tail,comb_DJI_20250110155802_0048_V_45zoom.JPG,,calycophyllum candidissimum,0.903940,0,,51,3
long_tail,comb_DJI_20260114112404_0017_V_2515zoom.JPG,,ficus citrifolia,0.052990,0,,52,3
long_tail,comb_DJI_20250523085330_0017_V_113zoom.JPG,,phoradendron dipterum,0.066510,0,,55,3
long_tail,comb_DJI_20250924105846_0025_V_728zoom.JPG,,colubrina asiatica,0.051010,0,,57,3
long_tail,comb_DJI_20250930113759_0013_V_6429zoom.JPG,,omphalea diandra,0.127300,6,0.5000,61,3
long_tail,comb_DJI_20250520102934_0034_V_72zoom.JPG,,psychotria nervosa,0.148210,0,,63,3
long_tail,comb_DJI_20250304091017_0024_V_8318zoom.JPG,,pseudobombax septenatum,0.613420,27,0.5926,66,1
long_tail,comb_DJI_20250926102826_0031_V_2911zoom.JPG,,aechmea tillandsioides,0.168550,0,,67,3
long_tail,comb_DJI_20250304085013_0046_V_7541zoom.JPG,,spirotheca rosea,0.016840,0,,68,3
long_tail,comb_DJI_20250110160426_0006_V_41zoom.JPG,,cissampelos tropaeolifolia,0.011480,0,,69,3
long_tail,comb_DJI_20250911094618_0003_V_4465zoom.JPG,,chamaedorea tepejilote,0.027420,0,,70,3
long_tail,comb_DJI_20250814140317_0067_V_6648zoom.JPG,,cordia dentata,0.169290,0,,72,3
long_tail,comb_DJI_20250110164124_0016_V_211zoom.JPG,,enterolobium cyclocarpum,0.220060,6,0.5000,75,3
long_tail,comb_DJI_20260311170213_0037_V_5388tele.JPG,,entada polystachya,0.196580,0,,76,3
long_tail,comb_DJI_20260322091906_0055_V_2567tele.JPG,,heteropterys intermedia,0.039320,1,1.0000,79,3
long_tail,comb_DJI_20241127094724_0010_V_2019zoom.JPG,,guazuma ulmifolia,0.207660,11,0.6364,81,3
long_tail,comb_DJI_20260320110540_0055_V_1738tele.JPG,,heteropterys intermedia,0.064060,1,1.0000,82,3
long_tail,comb_DJI_20251009104958_0031_V_2365zoom.JPG,,phyllanthus mocinoanus,0.014900,0,,83,3
long_tail,comb_DJI_20251016131002_0015_V_3847zoom.JPG,,cnidoscolus megacanthus,0.072880,0,,85,3
long_tail,comb_DJI_20250717093326_0010_V_102zoom.JPG,,xylopia aromatica,0.015830,0,,88,3
long_tail,comb_DJI_20260318095639_0035_V_1674tele.JPG,,castilla elastica,0.042510,0,,91,4
long_tail,comb_DJI_20260317092412_0006_V_10870tele.JPG,,cordia alliodora,0.462780,11,0.5455,92,4
long_tail,comb_DJI_20250110160022_0058_V_17zoom.JPG,,trichostigma octandrum,0.149000,0,,94,4
long_tail,comb_DJI_20260114095742_0023_V_8145zoom.JPG,,tabernaemontana arborea,0.126840,19,0.6842,97,5
long_tail,comb_DJI_20250804145215_0005_V_7913zoom.JPG,,maclura tinctoria,0.176700,0,,99,5
long_tail,comb_DJI_20250522092832_0051_V_121zoom.JPG,,iriartea deltoidea,0.240800,0,,100,5
long_tail,comb_DJI_20250110152708_0006_V_99zoom.JPG,,spondias mombin,0.013240,34,0.5294,101,5
long_tail,comb_DJI_20251017122451_0031_V_8389zoom.JPG,,paullinia fuscescens,0.586480,4,0.5000,102,5
long_tail,comb_DJI_20260318105416_0065_V_5494tele.JPG,,tynanthus croatianus,0.144450,2,0.5000,103,5
long_tail,comb_DJI_20251016104817_0021_V_10960zoom.JPG,,virola fosteri,0.035200,2,0.5000,104,5
long_tail,comb_DJI_20250110150022_0040_V_147zoom.JPG,,castilla elastica,0.234490,0,,105,4
long_tail,comb_DJI_20251016105522_0045_V_6838zoom.JPG,,annona glabra,0.188440,0,,106,5
long_tail,comb_DJI_20250807112024_0033_V_6945zoom.JPG,,entada polystachya,0.194650,0,,107,3
long_tail,comb_DJI_20250523094816_0051_V_134zoom.JPG,,sterculia tragacantha,0.370670,0,,110,6
long_tail,comb_DJI_20250814134448_0005_V_6907zoom.JPG,,combretum decandrum,0.024100,6,0.5000,111,6
long_tail,comb_DJI_20250110145802_0032_V_168zoom.JPG,,argyreia nervosa,0.010830,0,,113,6
