species,gt_raw_labels,n_labelled_frames,n_correct_top1,top1_accuracy,n_correct_top5,top5_accuracy,n_guessed_frames,precision,recall,f1,mean_top1_confidence,median_top1_confidence,p25_top1_confidence,p75_top1_confidence,iqr_top1_confidence,mean_top1_confidence_when_correct,in_corpus_vocabulary,in_project_checklist,support_bucket,status
lacmellea panamensis,Lacmellea panamensis,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.1908,0.1908,0.1908,0.1908,0.0000,,True,True,1,unmeasured
lindackeria laurina,Lindackeria laurina,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.1996,0.1996,0.1996,0.1996,0.0000,,True,True,1,unmeasured
mangifera indica,Mangifera indica,1,1,1.0000,1,1.0000,1,1.0000,1.0000,1.0000,0.0832,0.0832,0.0832,0.0832,0.0000,0.0832,True,True,1,unmeasured
margaritaria nobilis,Margaritaria nobilis,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.1502,0.1502,0.1502,0.1502,0.0000,,True,True,1,unmeasured
martinella obovata,Martinella obovata,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.3423,0.3423,0.3423,0.3423,0.0000,,True,True,1,unmeasured
ocotea puberula,Ocotea puberula,1,1,1.0000,1,1.0000,1,1.0000,1.0000,1.0000,0.3704,0.3704,0.3704,0.3704,0.0000,0.3704,True,True,1,unmeasured
ocotea whitei,Ocotea whitei,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.7959,0.7959,0.7959,0.7959,0.0000,,False,True,1,unreachable
ormosia macrocalyx,Ormosia macrocalyx,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0524,0.0524,0.0524,0.0524,0.0000,,True,True,1,unmeasured
passiflora auriculata,Passiflora auriculata,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0584,0.0584,0.0584,0.0584,0.0000,,False,True,1,unreachable
paullinia bracteosa,Paullinia bracteosa,1,1,1.0000,1,1.0000,1,1.0000,1.0000,1.0000,0.3767,0.3767,0.3767,0.3767,0.0000,0.3767,True,True,1,unmeasured
platymiscium pinnatum,Platymiscium pinnatum,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0686,0.0686,0.0686,0.0686,0.0000,,True,True,1,unmeasured
pterocarpus rohrii,Pterocarpus rohrii,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0733,0.0733,0.0733,0.0733,0.0000,,True,True,1,unmeasured
quararibea pterocalyx,Quararibea pterocalyx,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.3219,0.3219,0.3219,0.3219,0.0000,,False,True,1,unreachable
schizolobium parahyba,Schizolobium parahyba,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.2405,0.2405,0.2405,0.2405,0.0000,,False,True,1,unreachable
schnella guianensis,Schnella guianensis,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.1425,0.1425,0.1425,0.1425,0.0000,,False,True,1,unreachable
souroubea sympetala,Souroubea sympetala,1,1,1.0000,1,1.0000,1,1.0000,1.0000,1.0000,0.1592,0.1592,0.1592,0.1592,0.0000,0.1592,True,True,1,unmeasured
tetracera portobellensis,Tetracera portobellensis,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.1281,0.1281,0.1281,0.1281,0.0000,,True,True,1,unmeasured
tetrapterys tinifolia,Tetrapterys tinifolia,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.3106,0.3106,0.3106,0.3106,0.0000,,False,True,1,unreachable
trichospermum mexicanum,Trichospermum galeottii,1,1,1.0000,1,1.0000,1,1.0000,1.0000,1.0000,0.2725,0.2725,0.2725,0.2725,0.0000,0.2725,True,True,1,unmeasured
turpinia occidentalis,Turpinia occidentalis,1,1,1.0000,1,1.0000,1,1.0000,1.0000,1.0000,0.9250,0.9250,0.9250,0.9250,0.0000,0.9250,True,True,1,unmeasured
vismia macrophylla,Vismia macrophylla,1,0,0.0000,1,1.0000,0,0.0000,0.0000,0.0000,0.0285,0.0285,0.0285,0.0285,0.0000,,True,True,1,ranking
vitis tiliifolia,Vitis tiliifolia,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.5167,0.5167,0.5167,0.5167,0.0000,,True,True,1,unmeasured
