species,gt_raw_labels,n_labelled_frames,n_correct_top1,top1_accuracy,n_correct_top5,top5_accuracy,n_guessed_frames,precision,recall,f1,mean_top1_confidence,median_top1_confidence,p25_top1_confidence,p75_top1_confidence,iqr_top1_confidence,mean_top1_confidence_when_correct,in_corpus_vocabulary,in_project_checklist,support_bucket,status
hiraea grandifolia,Hiraea grandifolia,5,3,0.6000,5,1.0000,4,0.7500,0.6000,0.6667,0.6048,0.7901,0.2895,0.8958,0.6063,0.7193,True,True,5-9,ranking
hymenaea courbaril,Hymenaea courbaril,5,2,0.4000,2,0.4000,2,1.0000,0.4000,0.5714,0.5609,0.6260,0.2886,0.7145,0.4259,0.4285,True,True,5-9,unmeasured
mascagnia ovatifolia,Mascagnia ovatifolia,5,1,0.2000,1,0.2000,1,1.0000,0.2000,0.3333,0.3740,0.1686,0.0886,0.5847,0.4961,0.9554,True,True,5-9,unmeasured
pachira sessilis,Pachira sessilis,5,4,0.8000,5,1.0000,5,0.8000,0.8000,0.8000,0.5647,0.6134,0.4740,0.6411,0.1672,0.5526,True,True,5-9,ranking
virola nobilis,Virola nobilis,5,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0027,0.0034,0.0015,0.0036,0.0021,,False,True,5-9,unreachable
aiouea montana,Aiouea montana|Cinnamomum triplinerve,4,4,1.0000,4,1.0000,5,0.8000,1.0000,0.8889,0.8788,0.8778,0.8260,0.9306,0.1046,0.8788,True,True,2-4,unmeasured
amphilophium crucigerum,Amphilophium crucigerum,4,3,0.7500,4,1.0000,8,0.3750,0.7500,0.5000,0.8100,0.7968,0.7284,0.8784,0.1500,0.8488,True,True,2-4,ranking
amphilophium paniculatum,Amphilophium paniculatum,4,3,0.7500,4,1.0000,3,1.0000,0.7500,0.8571,0.5105,0.4233,0.2937,0.6401,0.3464,0.5996,True,True,2-4,ranking
bignonia aequinoctialis,Bignonia aequinoctialis|Cydista aequinoctialis,4,1,0.2500,2,0.5000,6,0.1667,0.2500,0.2000,0.5042,0.5310,0.2896,0.7456,0.4560,0.9014,True,True,2-4,unmeasured
cordia panamensis,Cordia panamensis,4,0,0.0000,1,0.2500,0,0.0000,0.0000,0.0000,0.3568,0.4013,0.2238,0.5343,0.3106,,True,True,2-4,unmeasured
croton billbergianus,Croton billbergianus,4,1,0.2500,2,0.5000,1,1.0000,0.2500,0.4000,0.3361,0.1742,0.0724,0.4379,0.3655,0.9416,True,True,2-4,unmeasured
hylenaea praecelsa,Hylenaea praecelsa,4,2,0.5000,3,0.7500,12,0.1667,0.5000,0.2500,0.3772,0.4086,0.2949,0.4909,0.1959,0.4536,True,True,2-4,ranking
